FIPS,State,County,County Population,BTM PV Res Cap,BTM PV Comm Cap,,,EIA 861M Small Scale PV Estimate,,,,Capacity MW,,,
48251,TX,Johnson,218048,19.99288653,2.382251454,,,,,,,,,,
48253,TX,Jones,20861,1.912751348,0.227913797,,,,,,,,,,
48255,TX,Karnes,15018,1.377004925,0.164076957,,,,,,,,,,
48257,TX,Kaufman,209235,19.18481992,2.285966314,,,,,,,,,,
48259,TX,Kendall,53289,4.886084396,0.582201156,,,,,,,,,,
48261,TX,Kenedy,319,0.029249206,0.003485188,,,,,,,,,,
48263,TX,Kent,674,0.061799262,0.007363688,,,,,,,,,,
48265,TX,Kerr,54037,4.95466874,0.590373321,,,,,,,,,,
48267,TX,Kimble,4438,0.406921551,0.048486718,,,,,,,,,,
48269,TX,King,192,0.017604538,0.002097668,,,,,,,,,,
48271,TX,Kinney,3128,0.286807258,0.034174505,,,,,,,,,,
48273,TX,Kleberg,30315,2.779591444,0.331202088,,,,,,,,,,
48275,TX,Knox,3192,0.292675438,0.034873728,,,,,,,,,,
48283,TX,La Salle,51503,4.72232552,0.562688475,,,,,,,,,,
48277,TX,Lamar,12579,1.153372284,0.13743002,,,,,,,,,,
48279,TX,Lamb,23657,2.169117427,0.258461085,,,,,,,,,,
48281,TX,Lampasas,6517,0.597545685,0.071200528,,,,,,,,,,
48285,TX,Lavaca,20651,1.893496385,0.225619473,,,,,,,,,,
48287,TX,Lee,18729,1.717267628,0.204620943,,,,,,,,,,
48289,TX,Leon,16894,1.549015928,0.18457292,,,,,,,,,,
48291,TX,Liberty,121364,11.12790157,1.325944587,,,,,,,,,,
48293,TX,Limestone,22849,2.095031664,0.249633399,,,,,,,,,,
48295,TX,Lipscomb,2955,0.270944836,0.032284419,,,,,,,,,,
48297,TX,Live Oak,11929,1.093773589,0.13032854,,,,,,,,,,
48299,TX,Llano,23353,2.141243576,0.255139777,,,,,,,,,,
48301,TX,Loving,52,0.004767896,0.000568118,,,,,,,,,,
48303,TX,Lubbock,328906,30.15748981,3.593414278,,,,,,,,,,
48305,TX,Lynn,6017,0.551700535,0.065737851,,,,,,,,,,
48313,TX,Madison,7472,0.685109921,0.08163424,,,,,,,,,,
48315,TX,Marion,272020,24.9415954,2.971914626,,,,,,,,,,
48317,TX,Martin,544,0.049879523,0.005943392,,,,,,,,,,
48319,TX,Mason,14226,1.304386208,0.155424077,,,,,,,,,,
